disc_loss,gen_loss,val_loss
9.8163,-0.0377,-0.0408
9.5269,-0.0359,-0.0393
9.0556,-0.0344,-0.0387
2.9279786823397485e+31,-0.0337,-0.0399
7.4059,-0.036,-0.0463
6.4711,-0.0458,-0.0634
4.597,-0.0704,-0.099
2.5636,-0.1161,-0.1625
0.7231,-0.195,-0.2589
-3.1235,-0.3151,-0.4003
-6.7484,-0.4904,-0.6104
-13.5414,-0.7414,-0.9057
-16.8359,-1.1119,-1.3146
-25.525,-1.6373,-1.9344
-33.2971,-2.3733,-2.7709
-43.8732,-3.3751,-3.8687
-54.0264,-4.7387,-5.4192
-67.1464,-6.5433,-7.4304
-85.2219,-8.8751,-9.9204
