disc_loss,gen_loss,wass_dist,val_loss
0.2057,-0.4732,-0.0442,-0.4734
0.1579,-0.45,-0.0919,-0.4503
0.0868,-0.4223,-0.1629,-0.4227
-0.001,-0.378,-0.2506,-0.3786
-0.1283,-0.3149,-0.3777,-0.3157
-0.259,-0.2358,-0.5082,-0.237
-0.4717,-0.144,-0.7206,-0.1448
-0.5755,-0.0817,-0.8241,-0.0828
-0.6791,-0.0389,-0.927,-0.0398
-0.6837,-0.0278,-0.931,-0.0287
-0.7254,-0.0129,-0.9716,-0.0134
-0.7404,-0.0071,-0.9859,-0.0072
-0.7412,-0.007,-0.9873,-0.0074
-0.7345,-0.0084,-0.9843,-0.0089
-0.7462,-0.0024,-0.9943,-0.0025
-0.7458,-0.0023,-0.9943,-0.0024
-0.7449,-0.0036,-0.9949,-0.0039
-0.7497,-0.0026,-0.9948,-0.0028
-0.7525,-0.0017,-0.9966,-0.0018
-0.7528,-0.0016,-0.9974,-0.0017
-0.745,-0.0046,-0.9941,-0.0051
-0.7464,-0.0012,-0.9959,-0.0013
-0.7478,-0.0012,-0.9978,-0.0012
-0.7169,-0.0012,-0.9668,-0.0013
-0.7474,-0.0019,-0.9973,-0.0023
-0.7487,-0.0011,-0.9985,-0.0012
-0.7523,-0.0035,-0.9953,-0.0041
-0.7484,-0.0008,-0.9981,-0.0008
-0.7441,-0.0063,-0.9941,-0.0077
-0.7485,-0.001,-0.9951,-0.0012
-0.7536,-0.0004,-0.998,-0.0004
-0.7195,-0.0138,-0.9633,-0.0169
-0.7421,-0.0009,-0.9917,-0.001
-0.746,-0.0051,-0.9953,-0.0064
-0.7464,-0.0013,-0.9951,-0.0017
-0.7489,-0.0007,-0.9989,-0.0009
-0.7487,-0.0008,-0.9987,-0.001
-0.7493,-0.0007,-0.9991,-0.001
-0.6882,-0.0006,-0.9356,-0.0007
-0.7492,-0.0004,-0.9982,-0.0004
-0.7439,-0.0078,-0.9936,-0.0136
-0.716,-0.0004,-0.966,-0.0004
-0.7471,-0.0043,-0.9971,-0.0078
-0.7485,-0.0004,-0.9972,-0.0005
-0.7472,-0.0002,-0.9972,-0.0003
-0.7501,-0.0003,-0.9992,-0.0005
-0.7482,-0.0019,-0.9981,-0.0028
-0.7525,-0.0003,-0.9976,-0.0003
-0.738,-0.0036,-0.9878,-0.0041
-0.7506,-0.0005,-0.9967,-0.0006
-0.7175,-0.001,-0.9674,-0.0023
-0.7476,-0.0013,-0.9973,-0.0024
-0.7331,-0.0007,-0.9814,-0.002
-0.7407,-0.0045,-0.9907,-0.0072
-0.7467,-0.0062,-0.9905,-0.0131
-0.7122,-0.0056,-0.9622,-0.018
-0.7423,-0.0008,-0.9892,-0.0017
-0.7178,-0.0006,-0.9655,-0.0016
-0.7355,-0.0043,-0.9855,-0.0089
-0.6902,-0.0104,-0.9288,-0.0469
-0.7212,-0.0604,-0.9711,-0.1031
-0.6719,-0.0627,-0.9186,-0.4731
-0.672,-0.0763,-0.922,-0.1455
-0.6838,-0.0681,-0.9211,-0.1374
