ep_rew_mean,loss
2.09,-1.94
1.33,8.99
1.31,1.25
1.23,0.986
1.1,2.29
1.1,0.0115
1.05,0.0162
0.996,0.000882
0.996,0.00376
0.909,0.00278
0.871,0.000209
0.837,0.000864
0.837,0.000255
0.804,0.000173
0.804,9.86e-06
2.34,-1.93
1.67,1.52
1.5,32.9
1.72,1.38
1.4,3.69
1.18,6.01
1.09,0.93
1.22,0.0582
2.89,-1.94
2.57,4.98
3.74,4.87
3.16,0.222
2.74,49.9
2.57,0.639
2.57,0.154
2.28,0.0782
2.06,0.00443
2.06,0.00597
1.96,0.00374
2.02,0.000255
1.85,5.16e-05
1.85,3.1
1.77,2.3
0.0,-1.94
0.0,2.97
0.0,0.316
0.0,0.118
0.0,0.119
0.0,0.0113
0.254,0.00454
0.203,0.000396
0.203,1.08
2.19,0.76
2.28,0.0378
2.82,168.0
2.63,0.624
2.61,16.3
2.48,0.796
1.46,-1.94
2.43,2.98
2.19,0.558
2.19,28.6
1.83,1.46
2.09,0.0168
2.09,0.34
2.76,4.56
2.57,0.205
2.54,20.0
2.54,7.74
3.04,0.474
2.87,0.0231
2.85,19.9
2.85,5.03
